Date,Open,High,Low,Close,Adj Close,Volume
2011-04-06,158.230774,158.615387,156.692307,158.076920,119.483620,6614569
2011-04-07,157.615387,157.692307,155.307693,156.538467,118.320808,6778655
2011-04-08,157.615387,157.846161,154.384613,155.307693,117.390549,6306352
2011-04-11,155.692307,156.692307,154.461533,155.230774,117.332413,3807856
2011-04-12,154.000000,155.076920,152.307693,153.923080,116.343910,6337669
2011-04-13,154.230774,154.692307,152.846161,153.384613,115.936951,5206370
2011-04-14,152.692307,154.461533,150.769226,153.846161,116.285805,5718570
2011-04-15,154.230774,156.153839,153.769226,154.153839,116.518356,6518031
2011-04-18,152.076920,153.846161,150.076920,153.692307,116.169495,8267493
2011-04-19,153.769226,156.461533,153.307693,155.923080,117.855682,8254493
2011-04-20,157.846161,158.000000,156.000000,156.923080,118.611511,7226362
2011-04-21,159.846161,160.000000,151.769226,153.461533,115.995079,15819713
2011-04-25,154.923080,155.000000,153.000000,153.000000,115.646217,7247773
2011-04-26,154.153839,156.384613,153.846161,154.615387,116.867233,6826066
2011-04-27,155.307693,160.384613,155.000000,158.846161,120.065086,11482640
2011-04-28,159.153839,159.769226,157.461533,158.461533,119.774353,5474365
2011-04-29,159.384613,159.538467,156.923080,157.307693,118.902237,5393427
2011-05-02,159.230774,159.307693,157.153839,157.538467,119.076630,4695938
2011-05-03,156.615387,158.846161,156.538467,158.769226,120.006958,5208801
2011-05-04,158.153839,158.923080,155.000000,155.923080,117.855682,7525791
2011-05-05,155.615387,156.153839,152.384613,153.076920,115.704361,7445555
2011-05-06,155.307693,155.769226,153.461533,153.923080,116.343910,5674240
2011-05-09,153.615387,154.692307,153.076920,154.384613,116.692764,4965168
2011-05-10,154.923080,157.076920,154.769226,156.153839,118.030052,4963504
2011-05-11,155.461533,157.000000,153.846161,154.538467,116.809113,5003570
2011-05-12,153.846161,155.230774,153.076920,154.923080,117.099785,4982822
2011-05-13,154.769226,154.923080,152.000000,153.000000,115.646217,5486000
2011-05-16,152.692307,153.769226,151.384613,152.000000,114.890396,5953571
2011-05-17,150.923080,151.769226,149.692307,150.692307,113.901932,6178744
2011-05-18,150.692307,152.846161,149.307693,152.000000,114.890396,5995743
2011-05-19,152.846161,154.230774,152.615387,153.538467,116.053238,5565989
2011-05-20,153.307693,153.384613,150.615387,150.923080,114.076355,5918978
2011-05-23,148.615387,149.846161,147.153839,149.153839,112.739037,5072678
2011-05-24,149.461533,150.153839,146.538467,146.923080,111.052917,5941598
2011-05-25,146.153839,148.923080,145.923080,147.846161,111.750626,5593666
2011-05-26,147.153839,149.923080,147.153839,149.384613,112.913498,5408988
2011-05-27,149.923080,150.615387,149.384613,149.538467,113.029839,3929068
2011-05-31,151.384613,151.692307,149.846161,151.076920,114.192612,6912750
2011-06-01,149.769226,150.769226,146.923080,147.153839,111.227333,8451560
2011-06-02,147.384613,148.307693,145.692307,146.846161,110.994766,5233670
2011-06-03,144.846161,146.076920,144.230774,144.769226,109.424927,6383728
2011-06-06,143.923080,144.615387,141.461533,142.000000,107.331757,7861139
2011-06-07,142.615387,143.846161,142.076920,142.153839,107.448059,6876168
2011-06-08,142.230774,143.615387,141.538467,142.384613,107.622490,6787716
2011-06-09,142.692307,144.307693,142.230774,142.923080,108.029488,5120648
2011-06-10,142.384613,142.461533,139.538467,140.923080,106.517815,7258979
2011-06-13,140.846161,142.461533,140.153839,141.461533,106.924767,5518708
2011-06-14,142.538467,144.230774,142.307693,143.076920,108.145760,6416657
2011-06-15,142.076920,143.615387,140.923080,141.461533,106.924767,7600255
2011-06-16,140.076920,143.153839,140.000000,141.846161,108.132782,7160894
2011-06-17,143.307693,143.769226,141.076920,142.230774,108.425957,7338253
2011-06-20,141.076920,142.769226,140.769226,142.153839,108.367332,5056649
2011-06-21,143.076920,145.692307,142.769226,144.692307,110.302467,7642609
2011-06-22,143.769226,144.692307,142.769226,142.769226,108.836433,6250062
2011-06-23,141.076920,141.461533,138.538467,141.384613,107.780960,9016085
2011-06-24,141.692307,141.769226,138.230774,138.230774,105.376709,10507159
2011-06-27,138.538467,141.692307,138.461533,140.615387,107.194511,6037824
2011-06-28,141.000000,141.846161,139.692307,141.846161,108.132782,5030792
2011-06-29,142.615387,143.153839,141.538467,142.769226,108.836433,5042453
2011-06-30,143.000000,145.384613,142.769226,145.076920,110.595680,5855122
2011-07-01,145.076920,148.153839,144.230774,147.692307,112.589432,7262905
2011-07-05,147.846161,148.076920,145.461533,146.461533,111.651176,5447494
2011-07-06,145.923080,146.923080,145.846161,146.538467,111.709839,4105673
2011-07-07,147.923080,149.615387,147.230774,148.461533,113.175865,5846113
2011-07-08,146.769226,146.923080,145.000000,146.076920,111.357979,7104786
2011-07-11,144.000000,144.461533,142.307693,143.307693,109.246956,6051617
2011-07-12,141.769226,143.538467,141.384613,141.384613,107.780960,6130033
2011-07-13,142.538467,144.846161,142.307693,142.384613,108.543243,7428967
2011-07-14,143.461533,144.615387,142.076920,142.538467,108.660522,5686915
2011-07-15,142.692307,143.692307,140.692307,141.615387,107.956863,6570291
2011-07-18,141.000000,141.461533,139.692307,140.692307,107.253151,5142345
2011-07-19,141.538467,143.384613,141.153839,142.923080,108.953712,5938101
2011-07-20,144.230774,145.461533,143.076920,144.538467,110.185196,6312163
2011-07-21,146.000000,148.307693,145.076920,147.384613,112.354881,8728421
2011-07-22,149.461533,150.230774,145.769226,146.461533,111.651176,10680202
2011-07-25,145.923080,147.230774,145.000000,145.846161,111.182076,5696327
2011-07-26,146.153839,146.461533,142.307693,142.769226,108.836433,8885916
2011-07-27,142.076920,142.384613,138.846161,139.307693,106.197639,10158499
2011-07-28,139.538467,142.000000,139.153839,139.307693,106.197639,6328400
2011-07-29,138.384613,139.307693,136.769226,137.769226,105.024841,9120332
2011-08-01,141.461533,141.692307,136.000000,138.230774,105.376709,8983078
2011-08-02,136.461533,137.538467,132.000000,132.384613,100.920006,12593087
2011-08-03,132.692307,134.615387,131.230774,134.384613,102.444672,11202607
2011-08-04,132.230774,132.846161,126.307693,126.692307,96.580605,16655145
2011-08-05,128.153839,130.384613,123.846153,127.000000,96.815170,16158519
2011-08-08,120.538460,124.076920,117.692307,118.692307,90.482056,22572394
2011-08-09,119.923080,122.769234,114.000000,122.769234,93.589973,25798617
2011-08-10,121.923080,122.230766,115.461540,116.076920,88.488258,17524156
